sensor,type,gone,pair,lat,lon,elev,asp,asp2,type,note,mtn,gswc110314,questions
FT004,T,1,,30.67735,-104.13095,1859,,,,,DM,0.066875587,
FT005,H,,FT005,30.67747,-104.13188,1870,,,,,DM,,
GN018,T,1,,30.65773,-104.16598,1949,,,,,DM,,
GN019,H,,GN019,30.657642,-104.166026,1949,,,,,DM,0.031199192,
GN115,T,1,,30.65694,-104.16619,1949,,,,,DM,,
GR012,T,,,30.64586,-104.17009,2109,,,,in QUGRI,DM,0.058348258,
GR013,H,1,GR013,30.646104,-104.170436,2099,,,,,DM,,
GR016,T,1,,30.65199,-104.17125,1994,,,,,DM,,
GR017,H,,GR017,30.65199,-104.17125,1994,,,,,DM,0.03763539,
GR020,T,,,30.64285,-104.16464,2181,,,,,DM,0.046076008,
GR036,T,,,30.64854,-104.17126,2058,,,,,DM,0.045606141,
GR037,H,,GR037,30.64351,-104.16831,2154,,,,,DM,0.038978489,
LC040,T,,,30.71628,-104.084094,1752,,,valley,in oak,DM,,
LG002,T,,,30.68344,-104.14295,1892,,,,,DM,0.064256053,
LG003,H,,LG003,30.68349,-104.14254,1891,,,,,DM,0.050396844,
LG024,T,,,30.67629,-104.16224,2037,,,ridge,in JUNDEP,DM,0.023179639,
LG025,H,,LG025,30.67762,-104.16333,2025,,,,in JUNDEP above Road,DM,,0.025889222
MD237,H,,MD237,30.66753,-104.15071,1891,,,,,DM,0.070736241,
MD243,T,,,30.667647,-104.151104,1891,,,,,DM,0.06799694,
MD282,T,,,30.666545,-104.149587,1887,,,,,DM,0.06061336,
MD283,H,,MD282,30.666545,-104.149587,1893,,,,,DM,0.06061336,
MI006,T,,,30.70077,-104.11395,1791,,,,,DM,0.055981398,
MI007,H,,MI007,30.70048,-104.11389,1799,,,,,DM,0.029850985,
MI032,T,,,30.70531,-104.12057,1869,,,,,DM,0.044705112,
MI034,T,,,30.69899,-104.11052,1834,,,,,DM,0.074797473,
TC008,T,,,30.655422,-104.171362,1964,,,,,DM,,
TC009,H,1,TC009,30.65536,-104.17111,1964,,,,,DM,0.0579641,
TC010,T,,,30.63901,-104.17912,2221,,,,,DM,0.148995339,
TC011,H,,TC011,30.6399,-104.17971,2210,,,,,DM,0.045568235,
TC026,T,,,30.64748,-104.186631,2137,,,,,DM,0.023834272,
TC027,H,,TC027,30.64793,-104.185981,2132,,,,,DM,0.048946962,
TC028,T,,,30.64638,-104.17966,2074,,,,,DM,???0.0328363715046842,
VR014,T,1,,30.642356,-104.163252,2251,,,,,DM,,
VR015,H,,VR015,30.641935,-104.164039,2256,,,,,DM,0.031350482,
VR038,T,,,30.63946,-104.16566,2358,,,,in PICEM,DM,0.033458315,
VR039,H,,VR039,30.63754,-104.16526,2406,,,,,DM,0.066550809,
DC613,H,,DC614,31.98858,-104.8355,1936,,65,valley,JUNDEP,GM,,
DC614,T,,,31.98858,-104.8355,1936,,65,valley,JUNDEP,GM,,
DC615,T,,,31.98067,-104.84355,2012,,,mid,DOUG FIR,GM,,
DC616,T,,,31.97805,-104.84883,2176,,327,mid,Juniper below mine entrance,GM,,
DC617,T,,,31.97373,-104.85354,2287,,,ridge,pinyon,GM,,
DC618,H,,DC617,31.97373,-104.85354,2287,,,ridge,pinyon,GM,,
DC619,T,,,31.9697,-104.85392,2370,,,mid,pinyon,GM,,
DC620,T,,,31.99553,-104.83193,1912,,384,valley/flat,Juniper below mine entrance,GM,,
GP609,T,,,31.89657,-104.83136,1832,NE,40,ridge,,GM,,
GP610,T,,,31.89539,-104.83406,1914,,46,mid,pinyon,GM,,
GP612,T,,,31.89699,-104.83962,2160,,291,mid,pinyon just below trail crossing ridge,GM,,
MC604,T,,,31.97661,-104.75133,1534,,82,mid/flat,,GM,,
MC605,T,,,31.9811,-104.78307,1615,,100,valley,,GM,,
MC606,T,,,31.9664,-104.7905,1671,,102,mid,,GM,,
MC607,T,,,31.96575,-104.79171,1759,E,81,mid,,GM,,
MC608,H,,,31.96575,-104.79171,1760,E,81,mid,,GM,,
MC613,H,,MC604,31.97661,-104.75133,1534,,82,mid/flat,,GM,,
SP601,T,,,31.91121,-104.79985,1697,E,,flat/mid,In JUNDEP next to QUPUN,GM,,
SP602,H,,SP601,31.91121,-104.79985,1697,E,,flat/mid,,GM,,
SP603,T,,,31.91755,-104.8066,1806,E,,valley,JUNDEP,GM,,
