sensor,elev,specific_catchment area,relelev_z,wetness,slope_degrees,relelev_l,ldist_tovalley,ruggedness,ldist_ridge,zdist_valley,radiation,relelev_watershed_minmax,MSD
GR016,1994,90,200066.0,1.00,87.78,0.00,0.00,687,60,0,2355330,0.31,0.55
GR017,1994,90,200066.0,1.00,87.78,0.00,0.00,687,60,0,2355330,0.31,0.55
GR020,2181,90,220332.0,0.00,89.11,-84.00,144.00,1697,60,5478,1011680,0.34,0.50
GR036,2058,90,102966.0,1.00,86.45,-127.00,187.00,425,60,3872,832465,0.32,0.65
GR037,2154,360,215148.0,2.00,87.46,90.00,114.00,633,204,2917,1460060,0.33,0.45
LC040,1752,210,172081.0,-2.00,89.98,0.00,0.00,109869,192,0,984431,0.22,0.50
LG002,1892,30,92483.5,-4.00,89.99,-30.00,30.00,148486,0,209990,1124960,0.18,0.65
LG003,1891,150,184865.0,-3.00,89.98,90.00,30.00,128532,120,209887,793556,0.21,0.65
LG024,2037,60,203001.0,-4.00,89.99,-84.00,114.00,250340,30,2957,2702430,0.45,0.60
LG025,2025,210,202881.0,1.00,88.53,120.00,84.00,1010,204,2982,2797010,0.33,0.50
MD237,1891,240,-36966.0,4.00,77.03,150.00,0.00,191856,150,0,567,0.20,0.00
MD243,1891,210,184693.0,-2.00,89.98,174.00,30.00,135741,204,221659,2520450,0.20,0.70
MD282,1887,90,190887.0,0.00,89.19,-48.00,120.00,1839,72,227853,965179,0.30,0.65
MD283,1893,120,188852.0,0.00,89.17,12.00,90.00,1806,102,225818,907136,0.30,0.60
MI006,1791,60,175684.0,-3.00,89.96,0.00,0.00,78960,42,0,2706340,0.25,0.60
MI007,1799,840,175208.0,-1.00,89.98,0.00,0.00,111425,574,0,2689720,0.22,0.60
MI032,1869,300,187305.0,2.00,88.29,0.00,0.00,867,344,0,2755590,0.30,0.75
MI034,1834,150,183719.0,2.00,85.84,-307.00,427.00,360,120,231358,915916,0.29,0.55
TC008,1964,630,-25028.0,-1.00,89.98,0.00,0.00,172085,397,0,3042,0.18,0.00
TC009,1964,30,-25028.0,2.00,60.13,0.00,0.00,153731,0,0,3462,0.15,0.00
TC010,2221,1110,223179.0,3.00,87.86,350.00,114.00,943,464,2509,1049100,0.34,0.50
TC011,2210,10020,220670.0,6.00,87.51,814.00,0.00,986,814,0,1471300,0.34,0.50
TC026,2137,30,357009.0,-4.00,89.98,-30.00,30.00,395362,0,500497,1026280,0.61,1.00
TC027,2132,60,213501.0,-4.00,89.99,-42.00,72.00,250438,30,2604,2689220,0.47,0.50
TC028,2074,360,203684.0,-1.00,89.96,0.00,0.00,80868,204,0,2710410,0.28,0.70
VR014,2251,60,225937.0,-5.00,89.99,-326.00,356.00,353662,30,12809,1925370,0.62,0.55
VR015,2256,30,226944.0,-4.00,89.98,-247.00,247.00,177634,0,12090,1472800,0.41,0.55
VR038,2358,30,236177.0,-5.00,89.99,-284.00,284.00,306288,0,14515,2432090,0.56,0.55
VR039,2406,30,239857.0,0.00,88.82,-326.00,326.00,1282,0,15562,1641480,0.36,0.65
DC613,1936,30,-38010.0,1.00,82.60,0.00,0.00,161157,0,0,429,0.15,0.00
DC614,1936,30,-38010.0,1.00,82.60,0.00,0.00,161157,0,0,429,0.15,0.00
DC615,2012,30,197545.0,-4.00,89.99,-30.00,30.00,144251,0,235555,794023,0.22,0.65
DC616,2176,30,217939.0,0.00,88.78,-114.00,114.00,1282,0,6988,1115510,0.34,0.90
DC617,2287,30,227910.0,0.00,86.87,-369.00,369.00,483,0,9941,1150540,0.36,0.80
DC618,2287,30,227910.0,0.00,86.87,-369.00,369.00,483,0,9941,1150540,0.36,0.80
DC619,2370,90,118267.0,0.00,88.74,-234.00,294.00,1187,60,14377,2514550,0.37,0.70
DC620,1912,180,187938.0,1.00,88.75,114.00,60.00,1190,174,225948,2410150,0.31,0.55
GP609,1832,30,683322.0,-5.00,89.99,-187.00,187.00,267570,0,708459,69787,0.75,1.00
GP610,1914,120,191193.0,1.00,88.66,-272.00,386.00,1134,114,216330,1746650,0.30,0.45
GP611,2160,30,108099.0,0.00,88.26,-509.00,509.00,1405,0,241336,854048,0.33,0.85
GP612,2160,30,108099.0,0.00,88.26,-509.00,509.00,1405,0,241336,854048,0.33,0.85
MC604,1534,60,152509.0,1.00,86.56,-182.00,212.00,441,30,204789,1225240,0.25,0.45
MC605,1615,30,158613.0,0.00,89.06,0.00,0.00,1593,0,0,2748760,0.26,0.60
MC606,1671,240,165706.0,1.00,89.32,0.00,0.00,2199,169,0,1427100,0.27,0.50
MC607,1759,90,176850.0,0.00,89.40,0.00,0.00,2502,84,0,1254370,0.28,0.55
MC608,1760,90,176850.0,0.00,89.40,0.00,0.00,2502,84,0,1254370,0.28,0.55
MC613,1534,60,152509.0,1.00,86.56,-182.00,212.00,441,30,204789,1225240,0.25,0.45
MC621,1534,60,152509.0,1.00,86.56,-182.00,212.00,441,30,204789,1225240,0.25,0.45
SP601,1697,90,169599.0,2.00,81.08,-90.00,150.00,172,60,1186,3086310,0.27,0.75
SP602,1697,90,169599.0,2.00,81.08,-90.00,150.00,172,60,1186,3086310,0.27,0.75
SP603,1806,3390,178968.0,4.00,89.06,657.00,84.00,1614,741,215962,2032750,0.28,0.65
