Measurement Time,Port 1 MPS-1 Water Potential Potential kPa,Port 2 EC-5 Soil Moisture mﾳ/mﾳ VWC,Port 3 EC-5 Soil Moisture mﾳ/mﾳ VWC,Port 4 MPS-1 Water Potential Potential kPa
26 May 2012 04:30 PM,-66,0.164,0.3,-55
26 May 2012 05:00 PM,-66,0.163,0.299,-55
26 May 2012 05:30 PM,-67,0.162,0.299,-56
26 May 2012 06:00 PM,-67,0.162,0.298,-56
26 May 2012 06:30 PM,-67,0.162,0.298,-57
26 May 2012 07:00 PM,-67,0.162,0.298,-57
26 May 2012 07:30 PM,-68,0.162,0.298,-57
26 May 2012 08:00 PM,-68,0.162,0.298,-57
26 May 2012 08:30 PM,-68,0.162,0.297,-57
26 May 2012 09:00 PM,-68,0.162,0.297,-57
26 May 2012 09:30 PM,-68,0.162,0.296,-57
26 May 2012 10:00 PM,-68,0.16,0.294,-57
26 May 2012 10:30 PM,-68,0.161,0.294,-57
26 May 2012 11:00 PM,-68,0.161,0.294,-57
26 May 2012 11:30 PM,-68,0.161,0.294,-57
27 May 2012 12:00 AM,-68,0.161,0.294,-57
27 May 2012 12:30 AM,-68,0.161,0.294,-57
27 May 2012 01:00 AM,-67,0.161,0.293,-57
27 May 2012 01:30 AM,-68,0.161,0.293,-57
27 May 2012 02:00 AM,-68,0.161,0.292,-57
27 May 2012 02:30 AM,-68,0.161,0.292,-57
27 May 2012 03:00 AM,-68,0.161,0.292,-57
27 May 2012 03:30 AM,-68,0.16,0.292,-57
27 May 2012 04:00 AM,-68,0.16,0.292,-57
27 May 2012 04:30 AM,-68,0.16,0.292,-57
27 May 2012 05:00 AM,-68,0.16,0.291,-57
27 May 2012 05:30 AM,-68,0.16,0.291,-57
27 May 2012 06:00 AM,-68,0.16,0.291,-57
27 May 2012 06:30 AM,-68,0.16,0.291,-57
27 May 2012 07:00 AM,-68,0.16,0.29,-57
27 May 2012 07:30 AM,-68,0.16,0.29,-57
27 May 2012 08:00 AM,-68,0.159,0.29,-57
27 May 2012 08:30 AM,-68,0.159,0.289,-57
27 May 2012 09:00 AM,-68,0.159,0.289,-57
27 May 2012 09:30 AM,-69,0.159,0.288,-57
27 May 2012 10:00 AM,-69,0.158,0.288,-58
27 May 2012 10:30 AM,-69,0.157,0.288,-58
27 May 2012 11:00 AM,-70,0.157,0.287,-59
27 May 2012 11:30 AM,-71,0.156,0.287,-59
27 May 2012 12:00 PM,-71,0.156,0.287,-59
27 May 2012 12:30 PM,-71,0.156,0.287,-60
27 May 2012 01:00 PM,-71,0.154,0.287,-60
27 May 2012 01:30 PM,-72,0.153,0.287,-60
27 May 2012 02:00 PM,-73,0.152,0.286,-61
27 May 2012 02:30 PM,-73,0.152,0.286,-62
27 May 2012 03:00 PM,-73,0.152,0.286,-62
27 May 2012 03:30 PM,-74,0.151,0.285,-63
27 May 2012 04:00 PM,-74,0.151,0.285,-64
27 May 2012 04:30 PM,-76,0.15,0.285,-65
27 May 2012 05:00 PM,-76,0.149,0.284,-66
27 May 2012 05:30 PM,-77,0.149,0.284,-66
27 May 2012 06:00 PM,-77,0.149,0.283,-66
27 May 2012 06:30 PM,-78,0.149,0.283,-67
27 May 2012 07:00 PM,-78,0.149,0.282,-67
27 May 2012 07:30 PM,-78,0.148,0.282,-67
27 May 2012 08:00 PM,-78,0.148,0.281,-67
27 May 2012 08:30 PM,-78,0.148,0.281,-67
27 May 2012 09:00 PM,-78,0.148,0.281,-67
27 May 2012 09:30 PM,-78,0.148,0.281,-67
27 May 2012 10:00 PM,-78,0.148,0.281,-67
27 May 2012 10:30 PM,-78,0.148,0.281,-67
27 May 2012 11:00 PM,-78,0.148,0.281,-67
27 May 2012 11:30 PM,-78,0.148,0.281,-67
28 May 2012 12:00 AM,-78,0.148,0.28,-67
28 May 2012 12:30 AM,-78,0.148,0.28,-67
28 May 2012 01:00 AM,-79,0.148,0.279,-67
28 May 2012 01:30 AM,-78,0.148,0.279,-67
28 May 2012 02:00 AM,-78,0.148,0.279,-67
28 May 2012 02:30 AM,-78,0.148,0.278,-67
28 May 2012 03:00 AM,-78,0.148,0.278,-67
28 May 2012 03:30 AM,-79,0.148,0.278,-67
28 May 2012 04:00 AM,-79,0.148,0.277,-68
28 May 2012 04:30 AM,-79,0.148,0.277,-68
28 May 2012 05:00 AM,-79,0.148,0.277,-68
28 May 2012 05:30 AM,-79,0.148,0.277,-67
28 May 2012 06:00 AM,-80,0.148,0.276,-68
28 May 2012 06:30 AM,-79,0.148,0.276,-68
28 May 2012 07:00 AM,-80,0.147,0.275,-68
28 May 2012 07:30 AM,-80,0.147,0.275,-68
28 May 2012 08:00 AM,-80,0.147,0.275,-68
28 May 2012 08:30 AM,-80,0.147,0.275,-68
28 May 2012 09:00 AM,-80,0.145,0.275,-69
28 May 2012 09:30 AM,-81,0.145,0.275,-69
28 May 2012 10:00 AM,-82,0.145,0.275,-70
28 May 2012 10:30 AM,-82,0.144,0.274,-71
28 May 2012 11:00 AM,-83,0.143,0.274,-72
28 May 2012 11:30 AM,-84,0.142,0.274,-72
28 May 2012 12:00 PM,-85,0.141,0.273,-73
28 May 2012 12:30 PM,-86,0.14,0.273,-73
28 May 2012 01:00 PM,-86,0.139,0.272,-74
28 May 2012 01:30 PM,-87,0.139,0.271,-75
28 May 2012 02:00 PM,-88,0.138,0.271,-76
28 May 2012 02:30 PM,-88,0.138,0.271,-77
28 May 2012 03:00 PM,-90,0.137,0.27,-77
28 May 2012 03:30 PM,-90,0.136,0.27,-79
28 May 2012 04:00 PM,-91,0.135,0.27,-80
28 May 2012 04:30 PM,-93,0.135,0.27,-82
28 May 2012 05:00 PM,-94,0.134,0.269,-84
28 May 2012 05:30 PM,-95,0.134,0.268,-84
28 May 2012 06:00 PM,-96,0.134,0.268,-84
28 May 2012 06:30 PM,-96,0.134,0.268,-86
28 May 2012 07:00 PM,-97,0.134,0.267,-85
28 May 2012 07:30 PM,-97,0.134,0.267,-86
28 May 2012 08:00 PM,-96,0.134,0.267,-86
28 May 2012 08:30 PM,-97,0.134,0.266,-86
28 May 2012 09:00 PM,-97,0.134,0.266,-86
28 May 2012 09:30 PM,-97,0.134,0.265,-86
28 May 2012 10:00 PM,-97,0.134,0.265,-86
28 May 2012 10:30 PM,-97,0.134,0.264,-86
28 May 2012 11:00 PM,-98,0.134,0.264,-86
28 May 2012 11:30 PM,-98,0.134,0.264,-86
29 May 2012 12:00 AM,-97,0.133,0.264,-87
29 May 2012 12:30 AM,-98,0.133,0.264,-86
29 May 2012 01:00 AM,-98,0.133,0.264,-86
29 May 2012 01:30 AM,-98,0.133,0.264,-86
29 May 2012 02:00 AM,-97,0.133,0.264,-86
29 May 2012 02:30 AM,-98,0.133,0.264,-87
29 May 2012 03:00 AM,-99,0.133,0.263,-87
29 May 2012 03:30 AM,-97,0.133,0.263,-87
29 May 2012 04:00 AM,-98,0.133,0.262,-87
29 May 2012 04:30 AM,-98,0.133,0.262,-87
29 May 2012 05:00 AM,-98,0.133,0.262,-87
29 May 2012 05:30 AM,-99,0.133,0.261,-87
29 May 2012 06:00 AM,-98,0.133,0.261,-88
29 May 2012 06:30 AM,-99,0.133,0.261,-87
29 May 2012 07:00 AM,-99,0.133,0.26,-88
29 May 2012 07:30 AM,-99,0.132,0.26,-88
29 May 2012 08:00 AM,-99,0.132,0.26,-88
29 May 2012 08:30 AM,-99,0.132,0.26,-88
29 May 2012 09:00 AM,-100,0.132,0.259,-88
29 May 2012 09:30 AM,-101,0.131,0.259,-88
29 May 2012 10:00 AM,-102,0.13,0.259,-89
29 May 2012 10:30 AM,-104,0.128,0.259,-90
29 May 2012 11:00 AM,-104,0.128,0.258,-91
29 May 2012 11:30 AM,-106,0.128,0.258,-93
29 May 2012 12:00 PM,-106,0.127,0.257,-93
29 May 2012 12:30 PM,-108,0.126,0.257,-94
29 May 2012 01:00 PM,-109,0.125,0.256,-96
29 May 2012 01:30 PM,-111,0.124,0.256,-96
29 May 2012 02:00 PM,-111,0.123,0.255,-97
29 May 2012 02:30 PM,-113,0.123,0.254,-99
29 May 2012 03:00 PM,-115,0.123,0.254,-100
29 May 2012 03:30 PM,-116,0.123,0.254,-102
29 May 2012 04:00 PM,-118,0.122,0.253,-105
29 May 2012 04:30 PM,-120,0.122,0.253,-107
29 May 2012 05:00 PM,-124,0.121,0.253,-110
29 May 2012 05:30 PM,-125,0.12,0.252,-112
29 May 2012 06:00 PM,-126,0.12,0.252,-113
29 May 2012 06:30 PM,-127,0.12,0.251,-114
29 May 2012 07:00 PM,-127,0.119,0.251,-115
29 May 2012 07:30 PM,-128,0.119,0.251,-115
29 May 2012 08:00 PM,-129,0.119,0.25,-116
29 May 2012 08:30 PM,-129,0.119,0.25,-117
29 May 2012 09:00 PM,-129,0.119,0.25,-117
29 May 2012 09:30 PM,-128,0.118,0.249,-118
29 May 2012 10:00 PM,-130,0.118,0.249,-118
29 May 2012 10:30 PM,-129,0.118,0.249,-117
29 May 2012 11:00 PM,-129,0.118,0.248,-118
29 May 2012 11:30 PM,-130,0.118,0.248,-118
30 May 2012 12:00 AM,-129,0.118,0.247,-118
30 May 2012 12:30 AM,-129,0.118,0.247,-117
30 May 2012 01:00 AM,-129,0.118,0.247,-118
30 May 2012 01:30 AM,-129,0.118,0.247,-118
30 May 2012 02:00 AM,-129,0.118,0.247,-118
30 May 2012 02:30 AM,-130,0.118,0.247,-118
30 May 2012 03:00 AM,-129,0.118,0.247,-118
30 May 2012 03:30 AM,-129,0.118,0.247,-119
30 May 2012 04:00 AM,-129,0.118,0.246,-118
30 May 2012 04:30 AM,-129,0.118,0.246,-119
30 May 2012 05:00 AM,-130,0.118,0.245,-119
30 May 2012 05:30 AM,-130,0.118,0.245,-118
30 May 2012 06:00 AM,-129,0.118,0.245,-118
30 May 2012 06:30 AM,-130,0.118,0.244,-119
30 May 2012 07:00 AM,-130,0.118,0.244,-119
30 May 2012 07:30 AM,-130,0.118,0.244,-118
30 May 2012 08:00 AM,-130,0.118,0.244,-119
30 May 2012 08:30 AM,-131,0.117,0.243,-119
30 May 2012 09:00 AM,-132,0.117,0.243,-120
30 May 2012 09:30 AM,-133,0.116,0.242,-120
30 May 2012 10:00 AM,-136,0.115,0.242,-121
30 May 2012 10:30 AM,-138,0.115,0.242,-122
30 May 2012 11:00 AM,-139,0.114,0.241,-125
30 May 2012 11:30 AM,-142,0.113,0.241,-126
30 May 2012 12:00 PM,-143,0.113,0.241,-128
30 May 2012 12:30 PM,-145,0.111,0.24,-129
30 May 2012 01:00 PM,-148,0.111,0.24,-131
30 May 2012 01:30 PM,-152,0.111,0.239,-133
30 May 2012 02:00 PM,-152,0.11,0.238,-135
30 May 2012 02:30 PM,-155,0.11,0.238,-137
30 May 2012 03:00 PM,-157,0.11,0.237,-139
30 May 2012 03:30 PM,-160,0.109,0.237,-143
30 May 2012 04:00 PM,-164,0.108,0.237,-145
30 May 2012 04:30 PM,-167,0.108,0.236,-151
30 May 2012 05:00 PM,-169,0.107,0.236,-153
30 May 2012 05:30 PM,-172,0.107,0.236,-157
30 May 2012 06:00 PM,-177,0.107,0.235,-159
30 May 2012 06:30 PM,-178,0.106,0.234,-160
30 May 2012 07:00 PM,-180,0.106,0.234,-163
30 May 2012 07:30 PM,-181,0.106,0.234,-164
30 May 2012 08:00 PM,-181,0.106,0.234,-164
30 May 2012 08:30 PM,-183,0.106,0.234,-167
30 May 2012 09:00 PM,-183,0.106,0.234,-167
30 May 2012 09:30 PM,-183,0.106,0.233,-167
30 May 2012 10:00 PM,-183,0.105,0.233,-170
30 May 2012 10:30 PM,-185,0.105,0.232,-169
30 May 2012 11:00 PM,-183,0.105,0.232,-170
30 May 2012 11:30 PM,-183,0.105,0.232,-170
31 May 2012 12:00 AM,-183,0.105,0.231,-172
31 May 2012 12:30 AM,-183,0.105,0.231,-172
31 May 2012 01:00 AM,-183,0.105,0.231,-173
31 May 2012 01:30 AM,-183,0.105,0.231,-172
31 May 2012 02:00 AM,-183,0.105,0.23,-172
31 May 2012 02:30 AM,-185,0.105,0.23,-172
31 May 2012 03:00 AM,-183,0.105,0.23,-173
31 May 2012 03:30 AM,-183,0.105,0.23,-173
31 May 2012 04:00 AM,-183,0.105,0.23,-173
31 May 2012 04:30 AM,-183,0.105,0.23,-175
31 May 2012 05:00 AM,-185,0.105,0.23,-175
31 May 2012 05:30 AM,-183,0.105,0.229,-175
31 May 2012 06:00 AM,-183,0.105,0.229,-175
31 May 2012 06:30 AM,-185,0.105,0.229,-177
31 May 2012 07:00 AM,-185,0.105,0.229,-177
31 May 2012 07:30 AM,-185,0.105,0.228,-177
31 May 2012 08:00 AM,-185,0.105,0.227,-175
31 May 2012 08:30 AM,-186,0.105,0.227,-177
31 May 2012 09:00 AM,-188,0.104,0.227,-175
31 May 2012 09:30 AM,-190,0.103,0.226,-177
31 May 2012 10:00 AM,-193,0.103,0.226,-178
31 May 2012 10:30 AM,-195,0.102,0.225,-178
31 May 2012 11:00 AM,-195,0.101,0.225,-180
31 May 2012 11:30 AM,-201,0.101,0.225,-181
31 May 2012 12:00 PM,-201,0.101,0.224,-183
31 May 2012 12:30 PM,-204,0.1,0.224,-186
31 May 2012 01:00 PM,-206,0.1,0.224,-188
31 May 2012 01:30 PM,-210,0.099,0.223,-190
31 May 2012 02:00 PM,-212,0.099,0.223,-192
31 May 2012 02:30 PM,-212,0.099,0.222,-193
31 May 2012 03:00 PM,-216,0.099,0.222,-195
31 May 2012 03:30 PM,-216,0.099,0.221,-199
31 May 2012 04:00 PM,-218,0.099,0.22,-199
31 May 2012 04:30 PM,-220,0.098,0.22,-202
31 May 2012 05:00 PM,-224,0.098,0.22,-202
31 May 2012 05:30 PM,-226,0.098,0.219,-204
31 May 2012 06:00 PM,-228,0.098,0.219,-208
31 May 2012 06:30 PM,-230,0.098,0.219,-208
31 May 2012 07:00 PM,-230,0.098,0.219,-210
31 May 2012 07:30 PM,-230,0.098,0.218,-212
31 May 2012 08:00 PM,-233,0.097,0.218,-212
31 May 2012 08:30 PM,-235,0.097,0.217,-214
31 May 2012 09:00 PM,-235,0.097,0.217,-216
31 May 2012 09:30 PM,-237,0.097,0.217,-218
31 May 2012 10:00 PM,-239,0.097,0.217,-218
31 May 2012 10:30 PM,-241,0.097,0.217,-220
31 May 2012 11:00 PM,-241,0.097,0.217,-222
31 May 2012 11:30 PM,-239,0.097,0.216,-222
01 Jun 2012 12:00 AM,-244,0.097,0.216,-222
01 Jun 2012 12:30 AM,-241,0.097,0.216,-224
01 Jun 2012 01:00 AM,-244,0.097,0.216,-224
01 Jun 2012 01:30 AM,-244,0.097,0.215,-226
01 Jun 2012 02:00 AM,-244,0.097,0.215,-226
01 Jun 2012 02:30 AM,-244,0.096,0.215,-226
01 Jun 2012 03:00 AM,-246,0.096,0.215,-226
01 Jun 2012 03:30 AM,-246,0.096,0.214,-228
01 Jun 2012 04:00 AM,-246,0.096,0.213,-230
01 Jun 2012 04:30 AM,-246,0.096,0.213,-230
01 Jun 2012 05:00 AM,-248,0.096,0.213,-228
01 Jun 2012 05:30 AM,-246,0.096,0.213,-230
01 Jun 2012 06:00 AM,-246,0.096,0.213,-230
01 Jun 2012 06:30 AM,-246,0.096,0.213,-230
01 Jun 2012 07:00 AM,-246,0.096,0.213,-233
01 Jun 2012 07:30 AM,-246,0.096,0.213,-235
01 Jun 2012 08:00 AM,-246,0.096,0.212,-233
01 Jun 2012 08:30 AM,-246,0.096,0.212,-235
01 Jun 2012 09:00 AM,-246,0.096,0.212,-235
01 Jun 2012 09:30 AM,-246,0.096,0.211,-235
01 Jun 2012 10:00 AM,-246,0.096,0.211,-237
01 Jun 2012 10:30 AM,-246,0.096,0.21,-237
01 Jun 2012 11:00 AM,-246,0.096,0.21,-237
01 Jun 2012 11:30 AM,-248,0.096,0.21,-237
01 Jun 2012 12:00 PM,-248,0.095,0.21,-237
01 Jun 2012 12:30 PM,-248,0.095,0.209,-239
01 Jun 2012 01:00 PM,-251,0.095,0.209,-239
01 Jun 2012 01:30 PM,-251,0.094,0.208,-239
01 Jun 2012 02:00 PM,-253,0.094,0.208,-239
01 Jun 2012 02:30 PM,-251,0.094,0.207,-237
01 Jun 2012 03:00 PM,-253,0.094,0.207,-237
01 Jun 2012 03:30 PM,-251,0.094,0.207,-239
01 Jun 2012 04:00 PM,-256,0.094,0.207,-239
01 Jun 2012 04:30 PM,-253,0.094,0.206,-239
01 Jun 2012 05:00 PM,-256,0.093,0.206,-241
01 Jun 2012 05:30 PM,-256,0.093,0.205,-241
01 Jun 2012 06:00 PM,-258,0.093,0.205,-244
01 Jun 2012 06:30 PM,-258,0.093,0.204,-244
01 Jun 2012 07:00 PM,-261,0.093,0.203,-244
01 Jun 2012 07:30 PM,-261,0.093,0.203,-246
01 Jun 2012 08:00 PM,-263,0.093,0.203,-246
01 Jun 2012 08:30 PM,-263,0.093,0.203,-246
01 Jun 2012 09:00 PM,-266,0.092,0.203,-246
01 Jun 2012 09:30 PM,-266,0.092,0.202,-248
01 Jun 2012 10:00 PM,-268,0.092,0.202,-251
01 Jun 2012 10:30 PM,-268,0.092,0.202,-251
01 Jun 2012 11:00 PM,-268,0.092,0.202,-253
01 Jun 2012 11:30 PM,-271,0.092,0.202,-253
02 Jun 2012 12:00 AM,-271,0.092,0.202,-253
02 Jun 2012 12:30 AM,-271,0.092,0.202,-253
02 Jun 2012 01:00 AM,-271,0.092,0.202,-256
02 Jun 2012 01:30 AM,-271,0.092,0.202,-256
02 Jun 2012 02:00 AM,-271,0.092,0.201,-256
02 Jun 2012 02:30 AM,-273,0.092,0.201,-256
02 Jun 2012 03:00 AM,-271,0.091,0.2,-258
02 Jun 2012 03:30 AM,-273,0.091,0.2,-258
02 Jun 2012 04:00 AM,-273,0.091,0.2,-258
02 Jun 2012 04:30 AM,-276,0.091,0.2,-258
02 Jun 2012 05:00 AM,-276,0.091,0.2,-258
02 Jun 2012 05:30 AM,-276,0.091,0.2,-261
02 Jun 2012 06:00 AM,-276,0.091,0.2,-261
02 Jun 2012 06:30 AM,-276,0.091,0.199,-261
02 Jun 2012 07:00 AM,-279,0.091,0.199,-261
02 Jun 2012 07:30 AM,-276,0.091,0.199,-263
02 Jun 2012 08:00 AM,-276,0.091,0.199,-263
02 Jun 2012 08:30 AM,-279,0.091,0.198,-263
02 Jun 2012 09:00 AM,-279,0.091,0.198,-263
02 Jun 2012 09:30 AM,-279,0.091,0.198,-263
02 Jun 2012 10:00 AM,-279,0.09,0.197,-263
02 Jun 2012 10:30 AM,-279,0.089,0.196,-263
02 Jun 2012 11:00 AM,-279,0.089,0.196,-263
02 Jun 2012 11:30 AM,-281,0.089,0.196,-263
02 Jun 2012 12:00 PM,-284,0.089,0.196,-266
02 Jun 2012 12:30 PM,-281,0.089,0.195,-268
02 Jun 2012 01:00 PM,-281,0.088,0.195,-268
02 Jun 2012 01:30 PM,-284,0.088,0.195,-268
02 Jun 2012 02:00 PM,-284,0.088,0.193,-271
02 Jun 2012 02:30 PM,-287,0.088,0.193,-273
02 Jun 2012 03:00 PM,-284,0.088,0.193,-271
02 Jun 2012 03:30 PM,-287,0.088,0.193,-273
02 Jun 2012 04:00 PM,-287,0.087,0.192,-273
02 Jun 2012 04:30 PM,-290,0.087,0.192,-279
02 Jun 2012 05:00 PM,-287,0.087,0.191,-281
02 Jun 2012 05:30 PM,-292,0.086,0.191,-281
02 Jun 2012 06:00 PM,-292,0.086,0.191,-281
02 Jun 2012 06:30 PM,-292,0.086,0.19,-281
02 Jun 2012 07:00 PM,-295,0.086,0.19,-281
02 Jun 2012 07:30 PM,-295,0.086,0.19,-281
02 Jun 2012 08:00 PM,-298,0.085,0.19,-284
02 Jun 2012 08:30 PM,-301,0.085,0.189,-284
02 Jun 2012 09:00 PM,-298,0.085,0.189,-284
02 Jun 2012 09:30 PM,-304,0.085,0.189,-287
02 Jun 2012 10:00 PM,-304,0.085,0.189,-287
02 Jun 2012 10:30 PM,-304,0.085,0.189,-287
02 Jun 2012 11:00 PM,-307,0.085,0.188,-287
02 Jun 2012 11:30 PM,-310,0.085,0.188,-290
03 Jun 2012 12:00 AM,-307,0.085,0.188,-290
03 Jun 2012 12:30 AM,-310,0.084,0.188,-290
03 Jun 2012 01:00 AM,-313,0.084,0.188,-292
03 Jun 2012 01:30 AM,-307,0.084,0.187,-295
03 Jun 2012 02:00 AM,-310,0.084,0.187,-295
03 Jun 2012 02:30 AM,-313,0.084,0.187,-295
03 Jun 2012 03:00 AM,-316,0.084,0.186,-295
03 Jun 2012 03:30 AM,-313,0.084,0.186,-295
03 Jun 2012 04:00 AM,-316,0.084,0.186,-298
03 Jun 2012 04:30 AM,-316,0.084,0.186,-298
03 Jun 2012 05:00 AM,-319,0.084,0.186,-301
03 Jun 2012 05:30 AM,-316,0.084,0.186,-301
03 Jun 2012 06:00 AM,-319,0.084,0.186,-304
03 Jun 2012 06:30 AM,-316,0.084,0.186,-304
03 Jun 2012 07:00 AM,-319,0.084,0.186,-304
03 Jun 2012 07:30 AM,-319,0.084,0.185,-304
03 Jun 2012 08:00 AM,-322,0.084,0.185,-304
03 Jun 2012 08:30 AM,-322,0.084,0.185,-304
03 Jun 2012 09:00 AM,-319,0.083,0.185,-307
03 Jun 2012 09:30 AM,-322,0.083,0.185,-307
03 Jun 2012 10:00 AM,-322,0.083,0.184,-307
03 Jun 2012 10:30 AM,-322,0.083,0.183,-307
03 Jun 2012 11:00 AM,-325,0.083,0.183,-307
03 Jun 2012 11:30 AM,-325,0.082,0.182,-307
03 Jun 2012 12:00 PM,-325,0.082,0.182,-307
03 Jun 2012 12:30 PM,-329,0.081,0.181,-310
