sensor,date,boat.id,wb,wb.soil.wet,wb.soil.dry,gswc
BG030,03/30/2013,,1.1382,22.496,21.3354,0.0543978552
BG031,03/30/2013,,1.1415,20.2009,18.578,0.0873560125
BG041,03/30/2013,,1.1395,16.6507,14.1489,0.1768193994
BG230,,,,,,
BG270,03/30/2013,,1.1462,16.5424,15.0245,0.1010283204
CC220,03/30/2013,,1.1369,19.642,18.5006,0.0616952964
CC221,03/30/2013,,1.1411,22.3019,20.9998,0.0620053524
CT022,03/30/2013,,1.1604,17.9536,16.2728,0.1032889238
CT023,03/30/2013,,1.1455,18.1539,15.8817,0.1430703262
FT004,,,,,,
FT005,03/30/2013,,1.1551,22.1916,20.8275,0.0654951386
GN018,,,,,,
GN019,03/30/2013,,1.1272,19.674,17.636,0.1155590837
GN115,,,,,,
GR012,03/30/2013,,1.1398,22.0472,20.7942,0.0602571871
GR013,,,,,,
GR016,,,,,,
GR017,03/30/2013,,1.1478,21.7389,20.7339,0.048471344
GR020,03/30/2013,,1.1562,20.5965,18.3087,0.1249569877
GR036,03/30/2013,,1.1478,20.3116,18.84,0.0781104034
GR037,03/30/2013,,1.1545,20.9148,19.4327,0.0762683518
LG002,03/30/2013,,1.1403,16.3973,14.6914,0.1161155506
LG003,03/30/2013,,1.1369,13.946,11.5568,0.2067354285
LG024,03/30/2013,,1.1408,18.6682,17.8293,0.0470517631
LG025,03/30/2013,,1.1436,21.3521,20.3746,0.047976402
MD237,03/30/2013,,1.1491,18.8494,17.2689,0.0915229111
MD243,03/30/2013,,1.1383,19.8097,18.3295,0.080755067
MD282,03/30/2013,,1.1486,16.5503,15.676,0.0557731564
MD283,,,,,,
MI006,03/30/2013,,1.1459,22.2988,20.9304,0.0653785881
MI007,03/30/2013,,1.1482,20.5382,19.3941,0.0589921677
MI032,03/30/2013,,1.1346,17.1268,15.7545,0.0871052715
MI034,03/30/2013,,1.1585,22.2565,20.5181,0.0847251939
TC008,03/30/2013,,1.1503,16.4555,14.463,0.1377653322
TC009,,,,,,
TC010,03/30/2013,,1.1536,16.2982,14.3792,0.1334566596
TC011,03/30/2013,,1.1372,15.4062,13.8789,0.1100447442
TC026,03/30/2013,,1.1292,19.4974,18.3211,0.0642046602
TC027,03/30/2013,,1.1432,20.1651,18.7735,0.0741257624
TC028,03/30/2013,,1.1623,21.3669,20.4295,0.0458846276
VR014,,,,,,
VR015,03/30/2013,,1.499,15.9948,14.2047,0.1260216689
VR038,03/30/2013,,1.1413,18.0087,17.2716,
VR039,03/30/2013,,1.1483,17.7765,16.0993,0.1041784425
LC040,03/30/2013,,1.1302,20.7815,19.5593,0.0624868988
BG030,08/13/2013,,1.3148,29.8701,27.2839,0.0995875868
BG031,08/13/2013,,1.3299,29.3696,25.1543,0.1769320529
BG041,08/13/2013,,,,,0.13811185
BG230,08/13/2013,,1.3267,27.459,24.2878,0.13811185
BG270,08/13/2013,,1.3239,26.0603,23.3138,0.1248982487
CC220,08/13/2013,,1.32,30.6506,27.8914,0.1038409719
CC221,08/13/2013,,1.3152,27.5269,24.0276,0.1540700234
CT022,08/13/2013,,1.3274,27.3247,23.9042,0.1515050849
CT023,08/13/2013,,1.3279,31.7936,27.4535,0.1661244144
FT004,,,,,,
FT005,08/13/2013,,1.3254,31.123,28.9002,0.0806098322
GN018,,,,,,
GN019,08/13/2013,,1.3238,38.9967,36.8468,0.0605213524
GN115,,,,,,
GR012,08/13/2013,,1.3212,36.9153,34.8957,0.0601527945
GR013,,,,,,
GR016,,,,,,
GR017,08/13/2013,,1.3294,37.8991,35.7284,0.0631035786
GR020,08/13/2013,,1.3266,28.7959,25.1541,0.1528402056
GR036,08/13/2013,,1.3315,34.2813,31.9645,0.0756308556
GR037,08/13/2013,,1.3228,29.1565,25.9967,0.1280624466
LG002,08/13/2013,,1.326,18.7044,15.8384,0.1974862876
LG003,08/13/2013,,1.3253,23.409,20.8135,0.133183157
LG024,08/13/2013,,1.3254,31.2331,29.2119,0.0724795152
LG025,08/13/2013,,1.3282,30.3291,27.2555,0.1185468599
MD237,08/13/2013,,1.3206,33.5802,29.5366,0.143308761
MD243,08/13/2013,,1.3275,31.7617,28.6951,0.1120522077
MD282,08/13/2013,,1.3221,32.2977,29.6002,0.0953918403
MD283,,,,,,
MI006,08/13/2013,,1.3267,26.7984,24.2247,0.1123984627
MI007,08/13/2013,,1.3197,27.0014,24.5364,0.1061735733
MI032,08/13/2013,,1.3265,35.2397,31.8426,0.1113215647
MI034,08/13/2013,,1.3258,29.6173,25.9636,0.14829652
TC008,08/13/2013,,1.3196,26.2103,22.5948,0.169939648
TC009,,,,,,
TC010,08/13/2013,,1.3194,28.3121,24.4698,0.1659712143
TC011,08/13/2013,,1.3226,26.5452,22.8644,0.1708678012
TC026,08/13/2013,,1.3255,39.969,37.9298,0.0557093019
TC027,08/13/2013,,1.3256,31.9807,29.8611,0.0742794064
TC028,08/13/2013,,1.3152,34.5982,32.3497,0.0724516264
VR014,,,,,,
VR015,08/13/2013,,1.3305,27.6467,25.1682,0.1039739572
VR038,08/13/2013,,1.3296,26.8459,23.1675,0.1684411047
VR039,08/13/2013,,1.3272,27.8107,23.9692,0.169662574
LC040,,,,,,
DC614,03/23/2014,15,1.3272,21.973,18.4059,
DC614,03/23/2014,16,1.3278,20.8949,17.5433,
DC615,03/23/2014,28,1.3232,24.5094,21.2346,
DC615,03/23/2014,29,1.3361,24.5532,21.2782,
DC616,03/23/2014,34,1.3183,20.7294,15.7655,
DC616,03/23/2014,35,1.3225,18.6587,14.3168,
DC617,03/23/2014,21,1.3309,27.9275,22.7268,
DC617,03/23/2014,22,1.3151,24.3587,19.8813,
DC619,03/23/2014,6,1.3196,24.877,19.7973,
DC620,03/23/2014,4,1.328,28.1308,23.5104,
GP609,03/22/2014,5,1.3255,22.3741,20.3155,
GP610,03/22/2014,8,1.3268,26.7628,22.5185,
GP610,03/22/2014,9,1.3157,27.0464,22.7502,
GP612,03/22/2014,3,1.3653,25.7477,22.1846,
MC604,03/22/2014,7,1.3211,31.9351,27.9582,
MC605,03/22/2014,18,1.3321,26.6614,20.8777,
MC606,03/22/2014,19,1.3272,25.7129,19.7674,
MC607,03/22/2014,20,1.3277,18.4193,14.5529,
SP601,03/21/2014,1,1.3729,27.607,22.796,
SP601,03/21/2014,2,1.3526,25.977,21.4405,
